,2016-01-03,2016-01-10,2016-01-17,2016-01-24,2016-01-31,2016-02-07,2016-02-14,2016-02-21,2016-02-28,2016-03-06,2016-03-13,2016-03-20,2016-03-27,2016-04-03,2016-04-10,2016-04-17,2016-04-24,2016-05-01,2016-05-08,2016-05-15,2016-05-22,2016-05-29,2016-06-05,2016-06-12,2016-06-19,2016-06-26,2016-07-03,2016-07-10,2016-07-17,2016-07-24,2016-07-31,2016-08-07,2016-08-14,2016-08-21,2016-08-28,2016-09-04,2016-09-11,2016-09-18,2016-09-25,2016-10-02,2016-10-09,2016-10-16,2016-10-23,2016-10-30,2016-11-06,2016-11-13,2016-11-20,2016-11-27,2016-12-04,2016-12-11,2016-12-18,2016-12-25
Pokémon GO,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,25,100,91,39,45,24,6,10,10,4,8,6,0,2,0,0,0,0,0,2,0,0,0,4,0,2
Gerhana Matahari,0,1,1,1,1,1,1,3,15,100,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timnas Indonesia,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,4,5,5,5,6,6,5,8,4,7,6,7,11,11,10,11,16,33,14,9,8,15,18,11,11,18,22,27,40,42,63,100,26,12
Gempa Aceh,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,9,3,2
Donald Trump,1,2,2,2,2,2,2,3,4,5,4,3,3,2,2,1,2,2,2,2,1,2,3,3,2,2,2,2,6,4,9,4,4,2,2,2,2,1,5,2,6,5,6,4,100,31,8,6,4,5,5,3
Mukidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100,37,12,9,8,7,7,5,4,5,4,4,4,3,3,3,2,3
Demo 4 November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,19,4,1,2,1,0,0,0
Rio Haryanto,4,4,3,7,5,24,61,80,38,22,39,100,32,49,30,35,22,23,15,19,11,20,13,18,15,11,16,11,17,15,10,13,7,4,7,5,8,7,7,7,5,6,5,5,7,5,6,5,6,3,4,6
Jessica Kumala Wongso,1,0,24,25,61,32,10,11,5,6,5,4,4,3,5,4,2,4,2,4,8,6,3,10,3,3,1,7,9,14,16,25,26,26,33,32,35,32,70,61,42,49,100,39,19,19,12,12,11,8,17,12
Joey Alexander,1,1,5,0,0,5,100,29,9,5,2,2,1,1,3,3,1,1,2,3,7,1,1,0,1,1,0,1,1,0,2,1,0,1,0,1,1,1,1,0,0,0,1,2,1,0,0,1,3,1,1,1
