Source,Target,Weight
Batu Akik,Gemstone,100
Batu Akik,Geology,98
Batu Akik,Topic,15
Batu Akik,Jewellery,6
Batu Akik,Color,6
Batu Akik,Gemstone,4
Batu Akik,Color,4
Batu Akik,Gemstone,3
Batu Akik,Colour,3
Batu Akik,Gemstone,2
Batu Akik,Gemstone,2
Batu Akik,Animal,2
Batu Akik,Topic,2
Batu Akik,Gemstone,2
Batu Akik,Plant,2
Batu Akik,Island in Asia,2
Batu Akik,Alcoholic drink,0
Batu Akik,Food,0
Batu Akik,Topic,0
Batu Akik,Country,0
Batu Akik,Plant,0
Batu Akik,Topic,0
Batu Akik,Topic,0
Batu Akik,Plant,0
GO-JEK,Technology company,100
GO-JEK,Indonesia,13
GO-JEK,Type of software,9
GO-JEK,Topic,9
GO-JEK,Sports league season,8
GO-JEK,Topic,6
GO-JEK,Technology company,6
GO-JEK,Topic,4
GO-JEK,Topic,2
GO-JEK,Topic,2
Kue Cubit,Topic,100
Kue Cubit,Food,95
Kue Cubit,Topic,40
Kue Cubit,Food,6
Kue Cubit,Topic,3
Kue Cubit,Topic,3
Kue Cubit,Food,3
Kue Cubit,Topic,3
Kue Cubit,Topic,3
Kue Cubit,Topic,2
Kue Cubit,Food,2
Kue Cubit,Cooking method,2
Kue Cubit,Food,2
Kue Cubit,Topic,2
Kue Cubit,Topic,2
Kue Cubit,Food,2
Kue Cubit,Topic,2
Kue Cubit,Food additive,2
Kue Cubit,Food,2
Kue Cubit,Topic,1
Kue Cubit,Animal,1
Kue Cubit,Topic,1
Kue Cubit,Food,1
Kue Cubit,Frozen dessert,1
Kue Cubit,Topic,0
Angeline,Topic,100
Angeline,Singer,76
Angeline,Topic,21
Angeline,Island in Indonesia,20
Angeline,Topic,18
Angeline,Topic,11
Angeline,Topic,10
Angeline,2016 film,9
Angeline,Actor,9
Angeline,Filipino singer,9
Angeline,Actress,8
Angeline,Topic,7
Angeline,Topic,6
Angeline,Film series,6
Angeline,2018 film,5
Angeline,Drama series,5
Angeline,Actor,4
Angeline,Song by Angeline Quinto,4
Angeline,Topic,4
Angeline,TV series,4
Angeline,Actress,3
Angeline,Indonesian actor,2
Angeline,2019 film,2
Angeline,2020 film,2
Olga Syahputra,Indonesian actor,100
Olga Syahputra,Topic,16
Olga Syahputra,Indonesian actor,9
Olga Syahputra,Topic,8
Olga Syahputra,Indonesian actress,8
Olga Syahputra,Indonesian media personality,6
Olga Syahputra,Medical condition,4
Olga Syahputra,Topic,4
Olga Syahputra,Indonesian actor,3
Olga Syahputra,Indonesian singer,3
Olga Syahputra,Literary genre,3
Olga Syahputra,Indonesian actress,3
Olga Syahputra,Actress,2
Olga Syahputra,TV show,2
Olga Syahputra,Topic,2
Olga Syahputra,TV show,1
Olga Syahputra,Topic,1
Olga Syahputra,Actor,1
Olga Syahputra,Comedian,1
Olga Syahputra,Food,1
Olga Syahputra,Topic,1
Olga Syahputra,Topic,1
Olga Syahputra,Geological feature category,1
Olga Syahputra,Actress,1
Dubsmash,Topic,100
Dubsmash,2016 film,39
Dubsmash,Dog temperament,8
Dubsmash,Film company role or service,8
Dubsmash,Actor,5
Dubsmash,Filipino actor,3
Dubsmash,Indonesian preacher,3
Dubsmash,Song by Brandon Beal,3
Dubsmash,Topic,3
Dubsmash,Organization type,2
Dubsmash,Discipline,2
Dubsmash,App,1
Dubsmash,"Water park in Tasikmalaya, Indonesia",1
Dubsmash,Model,1
Dubsmash,2017 film,1
Dubsmash,Topic,1
Dubsmash,Actor,1
Dubsmash,People,1
Dubsmash,Occupation,1
Dubsmash,Actor,1
Fast Furious 7,2015 film,100
Fast Furious 7,Film series,100
Fast Furious 7,Topic,30
Fast Furious 7,2017 film,22
Fast Furious 7,Topic,16
Fast Furious 7,2001 film,10
Fast Furious 7,2013 film,9
Fast Furious 7,2009 film,8
Fast Furious 7,Film,6
Fast Furious 7,Film company role or service,5
Fast Furious 7,2011 film,4
Fast Furious 7,Occupation,4
Fast Furious 7,American actor,4
Fast Furious 7,Song by Wiz Khalifa,2
Fast Furious 7,2006 film,2
Fast Furious 7,2019 film,2
Fast Furious 7,2003 film,1
Fast Furious 7,American actor,1
Fast Furious 7,Sports car,0
Fast Furious 7,Video game,0
Fast Furious 7,Topic,0
Fast Furious 7,Automobile make,0
Fast Furious 7,Indonesian actor,0
Fast Furious 7,Song by G-Eazy and Kehlani,0
Fast Furious 7,2023 film,0
Tragedi Mina,"Neighborhood in Mecca, Saudi Arabia",100
Tragedi Mina,Disaster,81
Tragedi Mina,Genre of play,23
Tragedi Mina,Topic,19
Tragedi Mina,Topic,19
Tragedi Mina,Topic,15
Tragedi Mina,Topic,11
Tragedi Mina,Incident,8
Goyang Dumang,Song by Cita Citata,100
Goyang Dumang,Topic,23
Goyang Dumang,Indonesian singer,17
Goyang Dumang,Malaysian animated series,8
Goyang Dumang,Musical genre,7
Goyang Dumang,Topic,6
Goyang Dumang,Topic,6
Goyang Dumang,Sports,5
Goyang Dumang,Song by Sandrina,3
Goyang Dumang,Topic,3
Goyang Dumang,Song by Siti Badriah,3
Goyang Dumang,Topic,3
Goyang Dumang,Song by Duo Anggrek,2
Goyang Dumang,Song by Cita Citata,2
Goyang Dumang,Musical instrument,2
Goyang Dumang,Song by Zaskia Gotik,2
Goyang Dumang,Song by Cita Citata,2
Goyang Dumang,Song by Nella Kharisma,2
Goyang Dumang,Song by Virgoun,1
Goyang Dumang,Song by Anji,1
Goyang Dumang,Song by Sandrina Azzahra,1
Goyang Dumang,Song by Armada,1
Goyang Dumang,Song,0
Goyang Dumang,Song by Melinda,0
Goyang Dumang,Topic,0
Piala Presiden,League,100
Piala Presiden,Topic,22
Piala Presiden,Topic,21
Piala Presiden,Tournament,21
Piala Presiden,Topic,18
Piala Presiden,Tournament,18
Piala Presiden,Competition,12
Piala Presiden,Football club,10
Piala Presiden,Football club,7
Piala Presiden,Football club,6
Piala Presiden,Football team,5
Piala Presiden,Topic,4
Piala Presiden,Topic,4
Piala Presiden,Malaysia,3
Piala Presiden,Television network,3
Piala Presiden,Football club,2
Piala Presiden,Mathematics,2
Piala Presiden,Football club,2
Piala Presiden,Topic,2
Piala Presiden,Football club,2
Piala Presiden,Football club,2
Piala Presiden,Topic,1
Piala Presiden,Topic,1
Piala Presiden,Football club,1
